Minute,Player,Squad,xG,Outcome
10,César Montes,Mexico,0.18,Off Target
40,Lautaro Martínez,Argentina,0.08,Off Target
45,Alexis Vega,Mexico,0.04,Saved
46,Alexis Vega,Mexico,0.02,Off Target
48,Hirving Lozano,Mexico,0.02,Blocked
51,Lionel Messi,Argentina,0.09,Off Target
64,Lionel Messi,Argentina,0.02,Goal
70,Nahuel Molina,Argentina,0.08,Off Target
87,Enzo Fernández,Argentina,0.04,Goal
